state,district,stage,sex,date,teachers
Johor,Muar,secondary,both,2019-01-01,1862
Johor,Muar,secondary,both,2020-01-01,1863
Johor,Muar,secondary,both,2021-01-01,1837
Johor,Muar,secondary,both,2022-01-01,1885
Johor,Muar,secondary,female,2017-01-01,1205
Johor,Muar,secondary,female,2018-01-01,1244
Johor,Muar,secondary,female,2019-01-01,1270
Johor,Muar,secondary,female,2020-01-01,1276
Johor,Muar,secondary,female,2021-01-01,1256
Johor,Muar,secondary,female,2022-01-01,1297
Johor,Muar,secondary,male,2017-01-01,609
Johor,Muar,secondary,male,2018-01-01,605
Johor,Muar,secondary,male,2019-01-01,592
Johor,Muar,secondary,male,2020-01-01,587
Johor,Muar,secondary,male,2021-01-01,581
Johor,Muar,secondary,male,2022-01-01,588
Johor,Pontian,primary,both,2017-01-01,1689
Johor,Pontian,primary,both,2018-01-01,1749
Johor,Pontian,primary,both,2019-01-01,1704
Johor,Pontian,primary,both,2020-01-01,1709
Johor,Pontian,primary,both,2021-01-01,1670
Johor,Pontian,primary,both,2022-01-01,1624
Johor,Pontian,primary,female,2017-01-01,1142
Johor,Pontian,primary,female,2018-01-01,1212
Johor,Pontian,primary,female,2019-01-01,1182
Johor,Pontian,primary,female,2020-01-01,1185
Johor,Pontian,primary,female,2021-01-01,1160
Johor,Pontian,primary,female,2022-01-01,1130
Johor,Pontian,primary,male,2017-01-01,547
Johor,Pontian,primary,male,2018-01-01,537
Johor,Pontian,primary,male,2019-01-01,522
Johor,Pontian,primary,male,2020-01-01,524
Johor,Pontian,primary,male,2021-01-01,510
Johor,Pontian,primary,male,2022-01-01,494
Johor,Pontian,secondary,both,2017-01-01,1242
Johor,Pontian,secondary,both,2018-01-01,1251
Johor,Pontian,secondary,both,2019-01-01,1262
Johor,Pontian,secondary,both,2020-01-01,1245
Johor,Pontian,secondary,both,2021-01-01,1212
Johor,Pontian,secondary,both,2022-01-01,1212
Johor,Pontian,secondary,female,2017-01-01,838
Johor,Pontian,secondary,female,2018-01-01,860
Johor,Pontian,secondary,female,2019-01-01,882
Johor,Pontian,secondary,female,2020-01-01,872
Johor,Pontian,secondary,female,2021-01-01,856
Johor,Pontian,secondary,female,2022-01-01,859
Johor,Pontian,secondary,male,2017-01-01,404
Johor,Pontian,secondary,male,2018-01-01,391
Johor,Pontian,secondary,male,2019-01-01,380
Johor,Pontian,secondary,male,2020-01-01,373
Johor,Pontian,secondary,male,2021-01-01,356
Johor,Pontian,secondary,male,2022-01-01,353
Johor,Segamat,primary,both,2017-01-01,1839
Johor,Segamat,primary,both,2018-01-01,1932
Johor,Segamat,primary,both,2019-01-01,1905
Johor,Segamat,primary,both,2020-01-01,1884
Johor,Segamat,primary,both,2021-01-01,1874
Johor,Segamat,primary,both,2022-01-01,1795
Johor,Segamat,primary,female,2017-01-01,1283
Johor,Segamat,primary,female,2018-01-01,1361
Johor,Segamat,primary,female,2019-01-01,1340
Johor,Segamat,primary,female,2020-01-01,1314
Johor,Segamat,primary,female,2021-01-01,1300
Johor,Segamat,primary,female,2022-01-01,1250
Johor,Segamat,primary,male,2017-01-01,556
Johor,Segamat,primary,male,2018-01-01,571
Johor,Segamat,primary,male,2019-01-01,565
Johor,Segamat,primary,male,2020-01-01,570
Johor,Segamat,primary,male,2021-01-01,574
Johor,Segamat,primary,male,2022-01-01,545
Johor,Segamat,secondary,both,2017-01-01,1494
Johor,Segamat,secondary,both,2018-01-01,1466
Johor,Segamat,secondary,both,2019-01-01,1441
Johor,Segamat,secondary,both,2020-01-01,1407
Johor,Segamat,secondary,both,2021-01-01,1366
Johor,Segamat,secondary,both,2022-01-01,1378
Johor,Segamat,secondary,female,2017-01-01,973
Johor,Segamat,secondary,female,2018-01-01,956
Johor,Segamat,secondary,female,2019-01-01,942
Johor,Segamat,secondary,female,2020-01-01,929
Johor,Segamat,secondary,female,2021-01-01,907
Johor,Segamat,secondary,female,2022-01-01,907
Johor,Segamat,secondary,male,2017-01-01,521
Johor,Segamat,secondary,male,2018-01-01,510
Johor,Segamat,secondary,male,2019-01-01,499
Johor,Segamat,secondary,male,2020-01-01,478
Johor,Segamat,secondary,male,2021-01-01,459
Johor,Segamat,secondary,male,2022-01-01,471
Johor,Tangkak,primary,both,2017-01-01,1342
Johor,Tangkak,primary,both,2018-01-01,1358
Johor,Tangkak,primary,both,2019-01-01,1326
Johor,Tangkak,primary,both,2020-01-01,1298
Johor,Tangkak,primary,both,2021-01-01,1261
Johor,Tangkak,primary,both,2022-01-01,1240
Johor,Tangkak,primary,female,2017-01-01,952
Johor,Tangkak,primary,female,2018-01-01,979
Johor,Tangkak,primary,female,2019-01-01,954
Johor,Tangkak,primary,female,2020-01-01,934
Johor,Tangkak,primary,female,2021-01-01,910
Johor,Tangkak,primary,female,2022-01-01,898
Johor,Tangkak,primary,male,2017-01-01,390
Johor,Tangkak,primary,male,2018-01-01,379
Johor,Tangkak,primary,male,2019-01-01,372
Johor,Tangkak,primary,male,2020-01-01,364
Johor,Tangkak,primary,male,2021-01-01,351
Johor,Tangkak,primary,male,2022-01-01,342
Johor,Tangkak,secondary,both,2017-01-01,1030
Johor,Tangkak,secondary,both,2018-01-01,1028
Johor,Tangkak,secondary,both,2019-01-01,1033
Johor,Tangkak,secondary,both,2020-01-01,1011
Johor,Tangkak,secondary,both,2021-01-01,991
Johor,Tangkak,secondary,both,2022-01-01,989
Johor,Tangkak,secondary,female,2017-01-01,654
Johor,Tangkak,secondary,female,2018-01-01,662
Johor,Tangkak,secondary,female,2019-01-01,672
Johor,Tangkak,secondary,female,2020-01-01,656
Johor,Tangkak,secondary,female,2021-01-01,648
Johor,Tangkak,secondary,female,2022-01-01,657
Johor,Tangkak,secondary,male,2017-01-01,376
Johor,Tangkak,secondary,male,2018-01-01,366
Johor,Tangkak,secondary,male,2019-01-01,361
Johor,Tangkak,secondary,male,2020-01-01,355
Johor,Tangkak,secondary,male,2021-01-01,343
Johor,Tangkak,secondary,male,2022-01-01,332
Kedah,All Districts,primary,both,2017-01-01,16948
Kedah,All Districts,primary,both,2018-01-01,17202
Kedah,All Districts,primary,both,2019-01-01,17161
Kedah,All Districts,primary,both,2020-01-01,17069
Kedah,All Districts,primary,both,2021-01-01,16918
Kedah,All Districts,primary,both,2022-01-01,17437
Kedah,All Districts,primary,female,2017-01-01,11761
